comp1,comp2,weight
python,sql,638
machine learning,python,472
autonomie,rigueur,446
autonomie,python,359
autonomie,sql,326
power bi,sql,324
python,r,304
management,python,301
aws,python,295
rigueur,sql,281
management,sql,276
python,rigueur,271
power bi,python,266
azure,python,254
machine learning,sql,253
git,python,247
ci/cd,python,242
intelligence artificielle,python,241
aws,sql,237
aws,azure,236
python,tensorflow,228
gcp,python,224
python,pytorch,218
python,spark,213
git,sql,209
data engineer,python,208
azure,sql,206
data engineer,sql,202
machine learning,management,202
docker,python,201
machine learning,r,199
aws,gcp,198
autonomie,machine learning,196
java,python,192
spark,sql,188
azure,gcp,187
power bi,tableau,187
autonomie,management,186
pytorch,tensorflow,186
big data,spark,183
python,scikit-learn,182
machine learning,scikit-learn,181
r,sql,181
big data,sql,181
agile,python,178
git,machine learning,178
machine learning,rigueur,178
ci/cd,sql,175
big data,python,175
autonomie,power bi,175
gcp,sql,174
intelligence artificielle,machine learning,174
machine learning,tensorflow,171
data management,management,170
devops,python,170
machine learning,pytorch,170
aws,git,169
deep learning,machine learning,169
management,rigueur,166
agile,sql,165
sql,tableau,165
aws,big data,162
java,sql,162
azure,ci/cd,161
aws,management,161
autonomie,intelligence artificielle,160
excel,sql,159
deep learning,python,156
aws,spark,156
aws,ci/cd,152
agile,autonomie,149
python,scala,147
aws,machine learning,145
management,power bi,143
azure,big data,142
docker,sql,141
autonomie,aws,141
python,tableau,140
aws,data engineer,140
autonomie,ci/cd,140
intelligence artificielle,rigueur,140
power bi,rigueur,140
scikit-learn,tensorflow,137
data engineer,spark,135
azure,spark,135
docker,kubernetes,134
deep learning,pytorch,134
docker,machine learning,133
autonomie,azure,132
big data,machine learning,132
management,r,132
intelligence artificielle,tensorflow,131
devops,sql,130
hadoop,spark,130
pandas,python,130
ci/cd,spark,129
machine learning,nlp,129
pytorch,scikit-learn,128
aws,devops,127
python,snowflake,127
autonomie,excel,126
kubernetes,python,126
intelligence artificielle,sql,126
excel,rigueur,126
scala,spark,124
big data,gcp,123
ci/cd,docker,122
intelligence artificielle,r,121
aws,kubernetes,121
big data,ci/cd,121
gcp,spark,120
scala,sql,120
nlp,python,120
azure,power bi,119
intelligence artificielle,pytorch,119
big data,r,118
kubernetes,sql,118
autonomie,git,117
autonomie,r,115
excel,power bi,115
ci/cd,gcp,115
aws,docker,115
java,spark,114
big data,management,113
big data,hadoop,112
azure,management,112
mlops,python,111
r,scikit-learn,110
git,management,110
devops,git,109
docker,git,109
autonomie,pytorch,108
autonomie,spark,108
deep learning,intelligence artificielle,107
big data,scala,107
intelligence artificielle,management,106
docker,management,106
azure,devops,105
ci/cd,devops,105
r,tensorflow,104
rigueur,tensorflow,103
aws,snowflake,103
snowflake,sql,102
agile,machine learning,102
autonomie,tensorflow,101
devops,docker,101
api,python,100
aws,intelligence artificielle,100
git,spark,100
azure,snowflake,100
java,scala,100
data engineer,git,98
data management,sql,98
big data,power bi,98
airflow,python,98
api,sql,97
hadoop,sql,97
pytorch,rigueur,97
autonomie,big data,96
ci/cd,management,96
big data,data engineer,96
ci/cd,git,95
git,kubernetes,95
kubernetes,spark,95
postgresql,sql,95
machine learning,pandas,94
data engineer,gcp,94
ci/cd,java,94
big data,java,94
aws,power bi,94
docker,gcp,94
devops,machine learning,93
devops,gcp,93
ci/cd,kubernetes,93
big data,intelligence artificielle,93
data engineer,java,92
agile,management,92
azure,data engineer,92
power bi,qlik,92
deep learning,tensorflow,92
git,rigueur,92
agile,rigueur,91
devops,management,91
ci/cd,scala,91
azure,scala,91
power bi,r,91
data engineer,power bi,91
numpy,python,91
pandas,scikit-learn,91
docker,spark,90
qlik,sql,90
pandas,sql,90
data engineer,kubernetes,90
gcp,git,90
numpy,pandas,90
sql,tensorflow,89
airflow,sql,89
machine learning,mlops,89
aws,rigueur,89
excel,python,88
power bi,talend,88
data engineer,management,88
autonomie,scikit-learn,88
python,talend,88
management,spark,88
autonomie,gcp,88
kubernetes,management,87
pytorch,sql,87
sql,talend,87
azure,git,86
ci/cd,snowflake,86
big data,kubernetes,85
data engineer,docker,85
power bi,spark,85
azure,java,85
azure,machine learning,85
agile,power bi,85
r,spark,84
pandas,pytorch,84
data engineer,scala,84
azure,docker,84
gcp,management,84
pytorch,r,84
autonomie,talend,84
git,nlp,84
linux,python,83
hadoop,python,83
bigquery,sql,83
autonomie,devops,83
ci/cd,power bi,83
r,rigueur,82
aws,hadoop,82
aws,scala,82
kafka,spark,82
gcp,machine learning,82
docker,scala,81
autonomie,deep learning,81
big data,datalake,81
gcp,rigueur,81
gcp,scala,80
airflow,spark,80
apis,python,80
devops,kubernetes,80
pandas,tensorflow,80
machine learning,spark,80
git,scikit-learn,80
big data,git,80
aws,java,79
ci/cd,machine learning,79
devops,spark,79
deep learning,r,79
matplotlib,python,78
databricks,python,78
python,qlik,78
airflow,data engineer,77
scikit-learn,sql,77
java,management,77
nlp,pytorch,77
postgresql,python,77
kafka,python,77
machine learning,matplotlib,77
data engineer,devops,77
aws,r,76
big data,devops,76
autonomie,pandas,76
nlp,rigueur,76
machine learning,numpy,76
autonomie,java,75
matplotlib,scikit-learn,75
llms,python,75
nlp,tensorflow,75
deep learning,scikit-learn,75
docker,java,74
autonomie,tableau,74
pandas,rigueur,74
autonomie,data engineer,74
big data,docker,74
data engineer,hadoop,74
bigquery,python,73
deep learning,rigueur,73
llm,python,73
aws,mlops,73
azure,r,73
gcp,kubernetes,73
power bi,snowflake,73
azure,rigueur,73
airflow,aws,72
git,tensorflow,72
git,pytorch,72
gcp,java,72
excel,management,72
azure,databricks,72
autonomie,numpy,71
docker,mlops,71
api,autonomie,71
qlik,tableau,71
numpy,scikit-learn,71
apis,sql,70
agile,big data,70
apis,machine learning,70
nlp,scikit-learn,70
ci/cd,intelligence artificielle,70
ci/cd,data engineer,70
hadoop,power bi,69
docker,rigueur,69
intelligence artificielle,pandas,69
ci/cd,r,69
deep learning,sql,69
databricks,spark,69
ci/cd,mlops,69
aws,nlp,69
numpy,rigueur,68
agile,intelligence artificielle,68
r,scala,68
data engineer,machine learning,68
numpy,tensorflow,68
numpy,pytorch,68
rigueur,scikit-learn,67
gcp,snowflake,67
git,scala,67
management,tableau,67
numpy,sql,67
autonomie,kafka,67
docker,r,66
mlflow,python,66
autonomie,data management,66
aws,tensorflow,66
kubernetes,machine learning,66
devops,rigueur,66
kafka,sql,66
nlp,r,65
qlik,talend,65
r,tableau,65
management,nlp,65
aws,pytorch,65
aws,scikit-learn,65
datalake,power bi,65
data management,python,65
agile,spark,65
agile,scrum,65
git,pandas,64
autonomie,qlik,64
snowflake,talend,64
java,machine learning,64
intelligence artificielle,scikit-learn,63
rigueur,tableau,63
mlops,sql,63
airflow,git,63
dbt,python,63
matplotlib,tensorflow,63
linux,sql,63
python,rag,62
docker,nlp,62
api,ci/cd,62
azure,hadoop,62
llms,machine learning,62
linux,machine learning,62
git,intelligence artificielle,62
management,mlops,62
devops,java,61
machine learning,mlflow,61
intelligence artificielle,numpy,61
intelligence artificielle,llm,61
datalake,sql,61
ci/cd,kafka,61
aws,pandas,61
ci/cd,rigueur,60
deep learning,git,60
nlp,sql,60
bigquery,gcp,60
hadoop,r,60
devops,mlops,60
hadoop,java,60
machine learning,power bi,60
datalake,spark,60
azure,kubernetes,59
datalake,python,59
azure,talend,59
airflow,kubernetes,59
agile,azure,59
agile,data engineer,59
agile,devops,58
git,power bi,58
intelligence artificielle,nlp,58
management,scala,58
big data,kafka,58
aws,databricks,58
mongodb,python,58
autonomie,docker,57
mlops,nlp,57
git,numpy,57
llms,rag,57
aws,numpy,57
e-commerce,sql,57
autonomie,snowflake,57
git,r,57
aws,kafka,56
hadoop,kubernetes,56
java,kubernetes,56
kubernetes,power bi,56
langchain,python,55
git,java,55
api,management,55
big data,databricks,54
git,mlops,54
ci/cd,hadoop,54
ci/cd,mongodb,54
deep learning,pandas,54
api,java,54
azure,intelligence artificielle,54
apis,git,54
management,snowflake,54
agile,tableau,54
azure,mongodb,54
databricks,snowflake,54
docker,intelligence artificielle,54
gcp,mlops,54
hadoop,scala,54
data engineer,tableau,54
airflow,big data,53
matplotlib,r,53
deep learning,transformers,53
agile,git,53
intelligence artificielle,llms,53
deep learning,llms,53
anglais technique,rigueur,53
devops,scala,53
llms,r,53
devops,intelligence artificielle,53
management,pytorch,53
api,data engineer,53
azure,kafka,52
agile,talend,52
java,r,52
dbt,sql,52
gcp,r,52
data management,power bi,52
java,power bi,52
pandas,r,52
autonomie,nlp,51
agile,ci/cd,51
anglais technique,python,51
ci/cd,databricks,51
data engineer,rigueur,51
keras,python,51
java,linux,50
api,spark,50
mlops,rigueur,50
data engineer,r,50
keras,pytorch,50
looker,sql,50
azure,tableau,50
datalake,hadoop,50
keras,machine learning,50
nlp,pandas,50
agile,aws,50
machine learning,rag,50
git,snowflake,50
devops,snowflake,49
anglais technique,autonomie,49
power bi,power query,49
gcp,intelligence artificielle,49
deep learning,nlp,49
intelligence artificielle,spark,49
linux,rigueur,49
kafka,scala,49
llm,machine learning,49
databricks,gcp,49
databricks,sql,49
machine learning,scala,49
api,gcp,49
r,rag,48
hadoop,kafka,48
big data,snowflake,48
docker,tensorflow,48
intelligence artificielle,rag,48
mlflow,sql,48
docker,pytorch,48
api,azure,48
devops,nlp,48
anglais technique,sql,48
gcp,power bi,48
agile,r,47
rigueur,rigueur scientifique,47
deep learning,management,47
intelligence artificielle,mlops,47
api,aws,47
agile,api,47
llms,management,47
api,rigueur,47
apis,docker,47
mlflow,pytorch,46
autonomie,scala,46
kubernetes,scala,46
mlops,pytorch,46
big data,tableau,46
deep learning,rag,46
airflow,power bi,46
data engineer,snowflake,46
keras,tensorflow,46
tableau,talend,46
azure,scikit-learn,46
langchain,machine learning,46
mlflow,tensorflow,45
nlp,numpy,45
matplotlib,pandas,45
mlops,tensorflow,45
llms,pytorch,45
docker,mlflow,45
autonomie,mlops,45
gcp,hadoop,45
big data,nlp,45
airflow,machine learning,44
mlops,spark,44
autonomie,postgresql,44
agile,datalake,44
management,tensorflow,44
nlp,rag,44
llms,transformers,44
llm,pytorch,44
snowflake,spark,44
databricks,scala,44
kubernetes,mlops,44
llms,nlp,44
azure,mlops,44
git,llms,43
aws,tableau,43
azure,pytorch,43
docker,mongodb,43
e-commerce,python,43
api,docker,43
qlik,qlik sense,43
python,transformers,43
airflow,autonomie,43
mongodb,sql,42
aws,matplotlib,42
matplotlib,numpy,42
python,streamlit,42
big data,mongodb,42
big data,rigueur,42
deep learning,numpy,42
aws,rag,42
mlflow,scikit-learn,42
aws,talend,42
api,kubernetes,42
python,rigueur scientifique,42
ci/cd,tensorflow,41
java,rigueur,41
git,rag,41
llm,r,41
kubernetes,rigueur,41
big data,mlops,41
docker,scikit-learn,41
gcp,tableau,41
gcp,nlp,41
databricks,management,41
azure,tensorflow,41
aws,deep learning,41
matplotlib,sql,41
management,pandas,41
databricks,java,40
aws,mongodb,40
big data,talend,40
rest,sql,40
airflow,docker,40
mlops,scikit-learn,40
ci/cd,pytorch,40
langchain,rag,40
git,langchain,40
mlflow,nlp,40
agile,java,40
agile,tensorflow,40
data engineer,dbt,40
management,talend,40
management,mdm,40
postgresql,rigueur,40
spark,talend,39
langchain,pytorch,39
git,matplotlib,39
intelligence artificielle,transformers,39
gcp,mongodb,39
apis,r,39
pytorch,rigueur scientifique,39
data management,excel,39
management,rag,39
airflow,hadoop,39
api,devops,39
agile,pytorch,39
java,tableau,39
machine learning,rigueur scientifique,39
devops,mongodb,39
data management,rigueur,39
pytorch,transformers,39
devops,kafka,39
dbt,snowflake,39
azure,pandas,38
autonomie,hadoop,38
gcp,mlflow,38
mongodb,spark,38
data engineer,datalake,38
api,power bi,38
llm,llms,38
numpy,r,38
looker,python,38
r,transformers,38
ci/cd,datalake,38
kafka,r,38
git,mongodb,38
autonomie,llm,38
machine learning,postgresql,38
intelligence artificielle,scala,38
spark,tableau,38
keras,scikit-learn,38
java,postgresql,38
keras,r,37
gcp,talend,37
pytorch,spark,37
autonomie,linux,37
mongodb,scala,37
airflow,ci/cd,37
ci/cd,llm,37
llm,rag,37
management,qlik,37
mysql,sql,37
big data,deep learning,37
apis,data engineer,37
apis,scala,37
langchain,tensorflow,37
llms,tensorflow,37
agile,gcp,37
ci/cd,pandas,37
spark,tensorflow,37
deep learning,langchain,37
llm,mlops,36
airflow,devops,36
langchain,scikit-learn,36
devops,scikit-learn,36
mysql,postgresql,36
mysql,python,36
agile,postgresql,36
keras,nlp,36
rag,sql,36
mlflow,mlops,36
git,linux,36
mlops,pandas,36
bigquery,git,36
autonomie,langchain,36
rigueur scientifique,tensorflow,36
azure,llm,36
excel,r,36
hadoop,management,36
linux,postgresql,36
ci/cd,scikit-learn,36
devops,pytorch,35
deep learning,keras,35
azure,numpy,35
gcp,llm,35
devops,tensorflow,35
gcp,kafka,35
airflow,datalake,35
azure,qlik,35
mlflow,r,35
agile,qlik,35
management,scikit-learn,35
qlik,r,35
ci/cd,talend,35
deep learning,llm,35
keras,management,35
java,kafka,35
scikit-learn,spark,35
ci/cd,nlp,35
mlops,r,35
scala,snowflake,35
langchain,nlp,35
bigquery,looker,35
apis,nlp,35
big data,pytorch,34
airflow,management,34
devops,r,34
databricks,devops,34
ci/cd,mlflow,34
apis,autonomie,34
excel,tableau,34
sql,streamlit,34
databricks,talend,34
matplotlib,pytorch,34
rigueur,spark,34
machine learning,tableau,34
machine learning,seaborn,34
power bi,scala,34
git,mlflow,34
data engineer,mlops,34
big data,scikit-learn,34
python,seaborn,34
matplotlib,seaborn,34
rag,transformers,34
docker,linux,33
api,big data,33
java,snowflake,33
aws,llms,33
large language models,llm,33
docker,power bi,33
seaborn,tensorflow,33
autonomie,qlik sense,33
apis,azure,33
databricks,git,33
kubernetes,r,33
aws,llm,33
intelligence artificielle,mongodb,33
scikit-learn,seaborn,33
langchain,sql,33
python,rest,33
airflow,gcp,32
datalake,git,32
mongodb,snowflake,32
datalake,scala,32
docker,kafka,32
qlik sense,talend,32
agile,kafka,32
git,streamlit,32
mdm,sql,32
aws,langchain,32
data engineer,talend,32
databricks,docker,32
gcp,pytorch,32
data management,machine learning,32
gcp,tensorflow,32
apis,aws,32
api,scala,32
git,rest,32
scrum,sql,32
data engineer,databricks,32
airflow,azure,31
llm,rigueur,31
devops,rest,31
power bi,qlik sense,31
anglais technique,machine learning,31
apis,rigueur,31
autonomie,kubernetes,31
kafka,machine learning,31
deep learning,docker,31
git,kafka,31
git,hadoop,31
agile,scala,31
ci/cd,dbt,31
data engineer,kafka,31
management,transformers,31
large language models,llms,31
big data,tensorflow,31
big data,pandas,30
apis,ci/cd,30
autonomie,databricks,30
langchain,llms,30
pandas,rag,30
llm,nlp,30
llm,pandas,30
keras,rigueur,30
gcp,scikit-learn,30
agile,nlp,30
llms,sql,30
agile,airflow,30
big data,data management,30
airflow,kafka,30
autonomie,mysql,30
aws,data management,30
docker,pandas,30
ci/cd,rest,30
ci/cd,tableau,30
rigueur,talend,30
autonomie,matplotlib,30
intelligence artificielle,power bi,30
ci/cd,qlik,30
anglais technique,intelligence artificielle,30
deep learning,rigueur scientifique,30
r,seaborn,30
dbt,gcp,30
intelligence artificielle,mlflow,29
nlp,spark,29
intelligence artificielle,rigueur scientifique,29
aws,datalake,29
autonomie,développement commercial,29
autonomie,rag,29
llm,sql,29
datalake,machine learning,29
pandas,spark,29
langchain,management,29
llm,tensorflow,29
bigquery,snowflake,29
e-commerce,management,29
data management,mdm,29
dbt,machine learning,29
docker,snowflake,29
plotly,python,29
power query,sql,29
azure,nlp,29
data management,git,29
rigueur,snowflake,29
deep learning,matplotlib,29
machine learning,plotly,29
ci/cd,deep learning,29
machine learning,transformers,29
autonomie,scrum,29
intelligence artificielle,keras,29
agile,qlik sense,29
api,tableau,28
matplotlib,rigueur,28
databricks,power bi,28
mdm,python,28
machine learning,rest,28
datalake,kubernetes,28
qlik sense,tableau,28
développement commercial,management,28
intelligence artificielle,langchain,28
ci/cd,data management,28
gcp,looker,28
datalake,java,28
python,scrum,28
mlflow,rigueur,28
agile,anglais technique,28
llm,scikit-learn,28
mysql,rigueur,28
deep learning,mlflow,28
ci/cd,numpy,28
pytorch,rag,28
rag,scikit-learn,28
bigquery,management,28
rigueur,transformers,28
dbt,git,28
autonomie,datalake,28
apis,rest,27
plotly,sql,27
autonomie,mlflow,27
qlik,snowflake,27
pandas,power bi,27
devops,llm,27
mlops,rag,27
azure,datalake,27
llms,pandas,27
power bi,scrum,27
agile,docker,27
scala,talend,27
intelligence artificielle,postgresql,27
autonomie,rest,27
azure,rest,27
azure,data management,27
kubernetes,tableau,27
kubernetes,nlp,27
docker,tableau,27
docker,hadoop,27
linux,mysql,27
rag,tensorflow,27
airflow,dbt,27
aws,qlik,26
api,machine learning,26
devops,pandas,26
intelligence artificielle,kubernetes,26
mlflow,pandas,26
agile,snowflake,26
keras,pandas,26
java,mysql,26
autonomie,llms,26
autonomie,mongodb,26
langchain,pandas,26
apis,devops,26
nlp,transformers,26
mlops,numpy,26
data management,qlik,26
management,numpy,26
aws,dbt,26
sql,transformers,26
data management,snowflake,25
keras,sql,25
data engineer,nlp,25
agile,databricks,25
azure,bigquery,25
autonomie,mdm,25
ci/cd,rag,25
intelligence artificielle,java,25
databricks,kubernetes,25
deep learning,gcp,25
kubernetes,snowflake,25
scikit-learn,transformers,25
deep learning,mlops,25
docker,llm,25
intelligence artificielle,matplotlib,25
bigquery,ci/cd,25
anglais technique,java,25
anglais technique,linux,25
docker,rest,25
docker,numpy,25
tensorflow,transformers,25
big data,qlik,25
llm,transformers,25
apis,tensorflow,25
hadoop,tableau,25
apis,intelligence artificielle,25
apis,gcp,25
api,r,25
mlops,scala,25
apis,pytorch,25
api,hadoop,24
aws,mlflow,24
scala,tableau,24
apis,java,24
api,rest,24
pandas,transformers,24
rest,rigueur,24
api,intelligence artificielle,24
llm,spark,24
langchain,transformers,24
autonomie,transformers,24
azure,mlflow,24
agile,kubernetes,24
langchain,rigueur,24
apis,mlops,24
bigquery,machine learning,24
mlflow,spark,24
kafka,mlops,24
rag,rigueur,24
deep learning,large language models,24
power query,python,24
dbt,power bi,24
databricks,intelligence artificielle,24
kafka,mongodb,24
anglais technique,mysql,24
anglais technique,postgresql,24
rigueur,scala,24
machine learning,mysql,24
datalake,kafka,24
data management,r,24
management,streamlit,23
snowflake,tableau,23
api,git,23
apis,llm,23
apis,pandas,23
apis,scikit-learn,23
big data,llm,23
git,talend,23
git,transformers,23
llm,rest,23
devops,power bi,23
matplotlib,nlp,23
postgresql,pytorch,23
